"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 04 07:33:52 UTC 2026","Tue Aug 04 07:33:53 UTC 2026","679","Suite-1","Rest_Assured_APITests-Phoenix","phoenix_api_automation_framework.MasterAPI_Test","phoenix_api_automation_framework.MasterAPI_Test","verifymasterAPI","to verify MasterAPI",""
"passed","Tue Aug 04 07:33:47 UTC 2026","Tue Aug 04 07:33:50 UTC 2026","2653","Suite-1","Rest_Assured_APITests-Phoenix","phoenix_api_automation_framework.LoginAPITest","phoenix_api_automation_framework.LoginAPITest","loginTest","verify LoginAPI","this test is to check if FD is able to login"
"failed","Tue Aug 04 07:33:54 UTC 2026","Tue Aug 04 07:33:54 UTC 2026","448","Suite-1","Rest_Assured_APITests-Phoenix","com.api.phoenix.datadriven_Tests.LoginAPITest","com.api.phoenix.datadriven_Tests.LoginAPITest","LoginAPITestdataDriven","loginAPIdatadriven testing",""
"passed","Tue Aug 04 07:34:00 UTC 2026","Tue Aug 04 07:34:01 UTC 2026","616","Suite-1","Rest_Assured_APITests-Phoenix","com.api.phoenix.datadriven_Tests.CreateJobAPITest","com.api.phoenix.datadriven_Tests.CreateJobAPITest","verifycreateJobDatadriven","verify createjobAPI",""
"passed","Tue Aug 04 07:33:53 UTC 2026","Tue Aug 04 07:33:53 UTC 2026","549","Suite-1","Rest_Assured_APITests-Phoenix","phoenix_api_automation_framework.CreateJobAPITest","phoenix_api_automation_framework.CreateJobAPITest","verifycreateJob","verify createjobAPI",""
"passed","Tue Aug 04 07:33:55 UTC 2026","Tue Aug 04 07:33:56 UTC 2026","640","Suite-1","Rest_Assured_APITests-Phoenix","com.api.phoenix.datadriven_Tests.CreateJobAPITest","com.api.phoenix.datadriven_Tests.CreateJobAPITest","verifycreateJobDatadriven","verify createjobAPI",""
"passed","Tue Aug 04 07:33:51 UTC 2026","Tue Aug 04 07:33:51 UTC 2026","553","Suite-1","Rest_Assured_APITests-Phoenix","phoenix_api_automation_framework.CountAPITest","phoenix_api_automation_framework.CountAPITest","missingtoken_countAPI","to verify CountAPI with missing token",""
"passed","Tue Aug 04 07:33:57 UTC 2026","Tue Aug 04 07:33:57 UTC 2026","531","Suite-1","Rest_Assured_APITests-Phoenix","com.api.phoenix.datadriven_Tests.CreateJobAPITest","com.api.phoenix.datadriven_Tests.CreateJobAPITest","verifycreateJobDatadriven","verify createjobAPI",""
"passed","Tue Aug 04 07:34:00 UTC 2026","Tue Aug 04 07:34:00 UTC 2026","533","Suite-1","Rest_Assured_APITests-Phoenix","com.api.phoenix.datadriven_Tests.CreateJobAPITest","com.api.phoenix.datadriven_Tests.CreateJobAPITest","verifycreateJobDatadriven","verify createjobAPI",""
"passed","Tue Aug 04 07:33:51 UTC 2026","Tue Aug 04 07:33:52 UTC 2026","610","Suite-1","Rest_Assured_APITests-Phoenix","phoenix_api_automation_framework.CountAPITest","phoenix_api_automation_framework.CountAPITest","verifyCountAPI","to verify countAPI",""
"passed","Tue Aug 04 07:33:53 UTC 2026","Tue Aug 04 07:33:54 UTC 2026","460","Suite-1","Rest_Assured_APITests-Phoenix","com.api.phoenix.datadriven_Tests.LoginAPITest","com.api.phoenix.datadriven_Tests.LoginAPITest","LoginAPITestdataDriven","loginAPIdatadriven testing",""
"failed","Tue Aug 04 07:33:54 UTC 2026","Tue Aug 04 07:33:55 UTC 2026","467","Suite-1","Rest_Assured_APITests-Phoenix","com.api.phoenix.datadriven_Tests.LoginAPITest","com.api.phoenix.datadriven_Tests.LoginAPITest","LoginAPITestdataDriven","loginAPIdatadriven testing",""
"passed","Tue Aug 04 07:33:56 UTC 2026","Tue Aug 04 07:33:56 UTC 2026","691","Suite-1","Rest_Assured_APITests-Phoenix","com.api.phoenix.datadriven_Tests.CreateJobAPITest","com.api.phoenix.datadriven_Tests.CreateJobAPITest","verifycreateJobDatadriven","verify createjobAPI",""
